weaponid,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail
10022,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Several sticks of dynamite were thrown from a car at the courthouse.
10023,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,
10024,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Dynamite
10025,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Two firebombs ignited at least one of them was thrown.  One of the firebombs was a rag wick set on fire stuffed in a gas tank of a parked car that burnt out.  Two other firebombs did not ignited.
10026,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Suspected use of dynamite
10027,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,Fire started with gasoline
10028,5,Firearms,4,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,High-powered rifle or carbine
10029,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,Incendiary device
10030,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,Incendiary device packed in a cigarette box that included batteries chemicals and a flash cube that was connected to a wristwatch.
10031,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,At least 12 dynamite bombs were set off under the gas tanks of the vehicles.
10032,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,Fire
10033,6,Explosives,31,Pipe Bomb,,,,,,,,,,,,,18-inch pipe bomb
10034,6,Explosives,31,Pipe Bomb,,,,,,,,,,,,,Pipe bomb in a paper bag
10035,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Firebomb thrown into building
10036,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Homemade dynamite time bombs
10037,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,Arson
10038,5,Firearms,4,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,Telescope-sighted rifle
10039,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,24 sticks of dynamite
10040,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Gasoline bomb
10041,6,Explosives,31,Pipe Bomb,,,,,,,,,,,,,Pipe filled with black powder was utilized as a bomb
10042,6,Explosives,15,Vehicle,,,,,,,,,,,,,Military handgrenade wired to a car
10043,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Two dynamite bombs
10044,6,Explosives,10,Pressure Trigger,,,,,,,,,,,,,Barometric bomb
10045,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,Thrown Gasoline Bomb
10046,6,Explosives,14,Time Fuse,,,,,,,,,,,,,Gasoline in bottles detonated by firecrackers
10047,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Firebomb tossed into home
10048,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,Kerosene flare pots
10049,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Thirteen sticks of dynamite attached to a battery operated device
10050,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Dynamite Pipe Bomb
10051,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Molotov cocktail thrown through the window of the Armory
10052,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive device
10053,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,Explosive device made with 5-gallon can of gasoline
10054,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Lead pipe-bomb filled with dynamite
10055,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Dynamite bomb
10056,6,Explosives,14,Time Fuse,,,,,,,,,,,,,Two and one half pound block of C-4 wired to a commercial blasting cap and timing device
10057,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Four sticks of dynamite triggered by a mousetrap
10058,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Two sticks of dynamite
10059,5,Firearms,2,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,Submachine guns
10060,2,Chemical,1,Poisoning,,,,,,,,,,,,,Cyanide in water supply
10061,6,Explosives,14,Time Fuse,,,,,,,,,,,,,Homemade incendiary time bomb
10062,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Police believed that the bomb had an electric battery
10063,6,Explosives,14,Time Fuse,,,,,,,,,,,,,Bomb - timed
10064,6,Explosives,14,Time Fuse,,,,,,,,,,,,,Time bomb
10065,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,Cherry bomb
10066,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,A gasoline can was found
10067,5,Firearms,3,Handgun,7,Fake Weapons,3,Handgun,,,,,,,,,Semiautomatic pistol revolver and fake bomb
10068,6,Explosives,15,Vehicle,,,,,,,,,,,,,Car bomb
10069,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Firebombs
10070,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Two bombs
10071,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Two firebombs
10072,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,Three shots fired
10073,6,Explosives,9,Letter Bomb,,,,,,,,,,,,,The explosives within the letter bomb were strong enough to blow off a persons fingers.  The detonator contained a mousetrap which experts believed would not have been powerful enough to trigger the explosive.
10074,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,Cigarette box containing flammable material batteries and a watch mechanism
10075,6,Explosives,14,Time Fuse,,,,,,,,,,,,,Pipe bomb with timer
10076,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Pipe bomb made of dynamite and small caliber ammunition with a clock detonator
10077,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Many sticks of dynamite
10078,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Brick tossed through a window then bomb tossed in afterwards
10079,6,Explosives,31,Pipe Bomb,,,,,,,,,,,,,Pipe bomb consisting of the equivalent of three sticks of dynamite
10080,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,Homemade bomb
10081,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Firebomb thrown from a car
10082,6,Explosives,16,Unknown Explosive Type,9,Melee,23,Knife or Other Sharp Object,,,23,Knife or Other Sharp Object,,,,,Swords; Bomb; Knives
10083,6,Explosives,14,Time Fuse,,,,,,,,,,,,,Explosive devices made of firecrackers
10084,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,Kerosene poured along the side of the building and set on fire
10085,6,Explosives,31,Pipe Bomb,,,,,,,,,,,,,Twelve inch pipe bomb capped at both ends
10086,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,Firearm
10087,6,Explosives,31,Pipe Bomb,,,,,,,,,,,,,Fifteen inch pipe bomb capped at both ends
10088,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Dynamite blast
10089,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,Fire ignited with a flammable liquid
10090,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,Six inch tube filled with powder and a detonating device
10091,6,Explosives,31,Pipe Bomb,,,,,,,,,,,,,
10092,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Dynamite explosion
10093,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,Explosion and fire
10094,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Dynamite placed in sewer
10095,6,Explosives,28,Dynamite/TNT,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,Stick of dynamite cigarette explosive device cloth rag kerosene and matches
10096,6,Explosives,16,Unknown Explosive Type,5,Firearms,2,Automatic or Semi-Automatic Rifle,,,,,,,,,Automatic firearms; Explosives
10097,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Chemical-type firebomb
10098,6,Explosives,14,Time Fuse,,,,,,,,,,,,,Sophisticated time bomb device
10099,5,Firearms,2,Automatic or Semi-Automatic Rifle,6,Explosives,7,Grenade,,,,,,,,,Automatic weapons and fragmentation grenades
10100,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,All four bombs went off in a span of 90 minutes.
10101,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Lighted cigarette attached to bomb fuse
10102,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Three gasoline Molotov cocktails
10103,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,
10104,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,Petrol bomb
10105,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Molotov cocktail and a soft drink bottle filled with an inflammable liquid lit by matches
10106,6,Explosives,14,Time Fuse,,,,,,,,,,,,,51 bombs were found minutes before they were set to explode.
10107,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Two firebombs thrown through windows in separate parts of the building
10108,5,Firearms,3,Handgun,,,,,,,,,,,,,.45 caliber semi-automatic pistol and .38 caliber pistol
10109,6,Explosives,31,Pipe Bomb,,,,,,,,,,,,,Homemade pipe bomb
10110,5,Firearms,3,Handgun,,,,,,,,,,,,,Black automated pistol
10111,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Molotov Cocktails
10112,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive taped to window
10113,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,
10114,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosives
10115,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Seven sticks of dynamite
10116,6,Explosives,31,Pipe Bomb,,,,,,,,,,,,,Eighteen inch pipe bomb with one inch diameter both ends filled with low order powder
10117,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Fourteen sticks of dynamite connected to a tiny clock
10118,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Firebomb that consisted of glass containers thrown into recruiting booth
10119,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosion causing a fire
10120,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,Black power used for explosive
10121,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,Three concussion bombs
10122,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,One concussion bomb
10123,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,Plastic explosive
10124,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Bricks thrown at window and then firebombed
10125,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Two Molotov cocktails
10126,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Gasoline firebomb tossed over fence
10127,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Small explosive device
10128,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Firebomb tossed through a window
10129,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Bomb believed to be hidden in a hand bag
10130,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Two explosive charges suspected of being dynamite
10131,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Firebomb consisting of a bottle that was presumably filled with gasoline
10132,6,Explosives,31,Pipe Bomb,,,,,,,,,,,,,Eight-inch pipe bomb
10133,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Four firebombs thrown into armory
10134,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,Sniper; a total of six bullets fired
10135,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,Gasoline can found in the vicinity of the scene
10136,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Bomb detonated
10137,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Three firebombs thrown at the house
10138,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Molotov cocktail consisting of beer bottles and gasoline
10139,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Bomb consisting of one or two sticks of TNT
10140,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Firebombs with fuse placed in the flues beneath the warehouse
10141,5,Firearms,3,Handgun,,,,,,,,,,,,,Pistols
10142,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Three sticks of dynamite taped to a fuse and blasting cap
10143,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,Bomb in loaf of bread
10144,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Five Molotov cocktails
10145,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Molotov cocktails thrown into the school
10146,9,Melee,21,Blunt Object,,,,,,,,,,,,,Axe handles
10147,5,Firearms,4,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,High-powered rifle
10148,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,12,Other,,,,,,,,,,,Bricks thrown through the windows of the warehouse followed by Molotov cocktails consisting of gasoline and Tide washing powder
10149,6,Explosives,31,Pipe Bomb,,,,,,,,,,,,,Two pipe bombs
10150,8,Incendiary,18,Arson/Fire,11,Sabotage Equipment,,,,,,,,,,,Set fire and vandalized building
10151,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,Two fires set
10152,6,Explosives,15,Vehicle,,,,,,,,,,,,,1-pound block of TNT connect to the engine of the vehicle
10153,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,Fire of incendiary origin
10154,5,Firearms,3,Handgun,5,Firearms,2,Automatic or Semi-Automatic Rifle,,,,,,,,,Pistols; Automatic firearms
10155,11,Sabotage Equipment,,,,,,,,,,,,,,,Nuts bolts and other metallic objects placed in the gears
10156,6,Explosives,15,Vehicle,,,,,,,,,,,,,Dynamite bomb connected to the ignition of the car
10157,6,Explosives,31,Pipe Bomb,,,,,,,,,,,,,Pipe bomb filled with black powder and tacks which was then tied to a Molotov cocktail
10158,2,Chemical,,,,,,,,,,,,,,,Nine dice-sized incendiary devices consisting of sulphuric acid and other chemicals
10159,6,Explosives,14,Time Fuse,,,,,,,,,,,,,Fourteen inch pipe bomb filled with hundreds of match heads connected to a fuse
10160,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,Military type grenades
10161,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,Pulled draft records out of cabinet and lit them on fire
10162,5,Firearms,4,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,Two shotgun blasts through living room window
10163,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Seven sticks of dynamite placed in a box connected to a clock mechanism
10164,5,Firearms,4,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,Snipers
10165,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,Ring of crude bombs exploding around the building
10166,6,Explosives,31,Pipe Bomb,,,,,,,,,,,,,Homemade pipe bombs
10167,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Four Firebombs
10168,5,Firearms,4,Rifle/Shotgun (non-automatic),5,Firearms,3,Handgun,,,,,,,,,.12 gauge double barreled shotgun; .38 caliber revolver
10169,5,Firearms,3,Handgun,,,,,,,,,,,,,.38 caliber revolver
10170,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Two-and-one-half by sixteen inch sticks of dynamite along with nuts bolts nails and metal brushes connected to a battery
10171,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,The bomb consisted of a plastic bottle and lead pipe filled with dynamite and connected to a clock
10172,5,Firearms,5,Unknown Gun Type,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,Firearm; Petroleum bomb
10173,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,15 to 20 pounds of high power dynamite
10174,6,Explosives,31,Pipe Bomb,,,,,,,,,,,,,Thrown pipe bomb filled with gunpowder
10175,5,Firearms,5,Unknown Gun Type,8,Incendiary,18,Arson/Fire,,,,,,,,,Sniper fire; Arson
10176,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,Seven incendiary devices about the size of a tea bag in plastic packages
10177,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,Multiple incendiary devices about the size of a small cube in plastic packages
10178,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Unexploded bomb
10179,6,Explosives,31,Pipe Bomb,,,,,,,,,,,,,Pipe bomb thrown into the building
10180,6,Explosives,14,Time Fuse,,,,,,,,,,,,,Powder filled pipe bomb attached to a timing device
10181,6,Explosives,14,Time Fuse,,,,,,,,,,,,,A makeshift bomb connected to a clock device
10182,6,Explosives,14,Time Fuse,,,,,,,,,,,,,One by twelve inch pipe bomb a bottle of gasoline and a timing device in a cardboard box
10183,6,Explosives,14,Time Fuse,,,,,,,,,,,,,Twenty seven nitroglycerine charges attached to a common detonator
10184,6,Explosives,31,Pipe Bomb,,,,,,,,,,,,,Pipe filled with explosives thrown into garage
10185,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Bombed
10186,5,Firearms,3,Handgun,,,,,,,,,,,,,.45 caliber pistol
10187,6,Explosives,14,Time Fuse,,,,,,,,,,,,,Eleven bottles of wine filled with an unspecified liquid and firecrackers attached to cigarette tied fuses
10188,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,Explosive device connected to a wire strung to the warehouse from a car battery about five hundred feet away
10189,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Molotov cocktail through window
10190,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,Three holes drilled in ceiling of the office.  Flammable liquid poured through the holes followed by paper towels lit on fire.
10191,5,Firearms,4,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,Shotgun blasts were fired in rapid succession.
10192,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,12,Other,,,,,,,,,,,Two Molotov cocktails and bricks were thrown at the office.
10193,5,Firearms,4,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,Two 30-30 rifles
10194,6,Explosives,14,Time Fuse,,,,,,,,,,,,,Times pipe bomb with batteries and a clock
10195,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Firebombs were thrown at the building
10196,6,Explosives,15,Vehicle,,,,,,,,,,,,,Bomb
10197,5,Firearms,2,Automatic or Semi-Automatic Rifle,6,Explosives,7,Grenade,,,,,,,,,Automatic firearms; Grenades
10198,6,Explosives,31,Pipe Bomb,,,,,,,,,,,,,One foot pipe bomb
10199,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,Thrown bomb that consisted of black power and filled with nuts and bolts.
10200,6,Explosives,14,Time Fuse,,,,,,,,,,,,,Bomb with timing device
10201,6,Explosives,31,Pipe Bomb,,,,,,,,,,,,,Two-inch pipe bomb
10202,5,Firearms,4,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,
10203,6,Explosives,29,Sticky Bomb,,,,,,,,,,,,,Bomb taped to car
10204,6,Explosives,31,Pipe Bomb,,,,,,,,,,,,,Seven inch pipe bomb consisting of gunpowder and a wick fuse
10205,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,Six shots fired
10206,5,Firearms,4,Rifle/Shotgun (non-automatic),5,Firearms,3,Handgun,,,,,,,,,Shotgun; Pistols
10207,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Three Molotov cocktails consisting of wine bottles and gasoline
10208,6,Explosives,15,Vehicle,,,,,,,,,,,,,Booby-trap bomb
10209,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Twenty sticks of dynamite
10210,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Homemade gasoline firebomb
10211,5,Firearms,3,Handgun,,,,,,,,,,,,,Revolver
10212,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Timed firebomb
10213,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,One time bomb consisting of two sticks of dynamite and another time bomb consisting of twenty sticks of dynamite
10214,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Crude firebomb
10215,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Molotov cocktail thrown through a window
10216,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,Four plastic bags contained gasoline attached to a battery and a timing device
10217,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,The explosives were suspected of being dynamite.  They went off moments apart.
10218,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Seven sticks of dynamite and a blasting cap
10219,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Molotov cocktail consisting of a soft drink bottle filled with a flammable liquid
10220,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Bomb thrown into police car from a passing vehicle
10221,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,Three large homemade gasoline-chemical bombs
10222,6,Explosives,14,Time Fuse,,,,,,,,,,,,,Pipe bomb connected to a timing device
10223,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Bomb consisting of a half stick of dynamite thrown at the building
10224,6,Explosives,7,Grenade,,,,,,,,,,,,,Hand Grenade Simulator
10225,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Bomb consisting of a timing device and what was believed to be dynamite
10226,6,Explosives,7,Grenade,5,Firearms,5,Unknown Gun Type,,,,,,,,,Grenades; Firearms
10227,5,Firearms,3,Handgun,6,Explosives,7,Grenade,,,,,,,,,Pistols; Grenade
10228,5,Firearms,3,Handgun,6,Explosives,7,Grenade,,,,,,,,,Pistols; Grenades
10229,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Firebomb consisting of a glass gallon jug
10230,8,Incendiary,,,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,Incendiary; Molotov cocktail
10231,5,Firearms,3,Handgun,,,,,,,,,,,,,Silver handgun fired three times
10232,6,Explosives,16,Unknown Explosive Type,5,Firearms,5,Unknown Gun Type,13,Unknown,,,,,,,
10233,5,Firearms,3,Handgun,,,,,,,,,,,,,Pistol
10234,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,Flammable liquid thrown through front door of building
10235,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Twenty to twenty-five sticks of dynamite connected to a timing device
10236,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,11,Sabotage Equipment,,,,,,,,,,,Four Molotov cocktails; Metal Grates thrown down shaft
10237,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Eight to ten sticks of dynamite
10238,8,Incendiary,18,Arson/Fire,5,Firearms,4,Rifle/Shotgun (non-automatic),,,,,,,,,Sniper-fire
10239,5,Firearms,2,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,Automatic Weapons
10240,5,Firearms,4,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,Shotgun
10241,2,Chemical,,,,,,,,,,,,,,,Tear gas
10242,5,Firearms,4,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,Rifles
10243,6,Explosives,14,Time Fuse,,,,,,,,,,,,,The bomb was wrapped in brown paper and police discovered remnants of black powder a battery and a timing device.
10244,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Five firebombs made out of beer bottles
10245,6,Explosives,14,Time Fuse,,,,,,,,,,,,,Six inch pipe bomb consisting of black power and connected to a pocket watch
10246,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Two thrown Molotov cocktails filled with gasoline
10247,6,Explosives,31,Pipe Bomb,,,,,,,,,,,,,Homemade pipe bomb with explosives intended to be used underwater
10248,6,Explosives,31,Pipe Bomb,,,,,,,,,,,,,Homemade pipe bomb containing two propane tanks
10249,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,Two fifteen inch devices attached to two bottles of gasoline
10250,10,Vehicle (not to include vehicle-borne explosives i.e. car or truck bombs),,,,,,,,,,,,,,,Run down by car
10251,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,Drive-by shooting.
10252,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,Kerosene and gasoline lit on fire
10253,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,Three brown bottles containing an unknown substance thrown at the building
10254,9,Melee,21,Blunt Object,9,Melee,22,Hands Feet Fists,,,,,,,,,Fist feet rocks bottles sticks and two-by-two piece of plywood
10255,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Four to six sticks of dynamite tossed into the house
10256,6,Explosives,14,Time Fuse,,,,,,,,,,,,,High explosive bomb with a timing mechanism
10257,6,Explosives,14,Time Fuse,,,,,,,,,,,,,Fragmentation device
10258,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Four to five sticks of dynamite
10259,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Gasoline poured on porch set off by a firebomb
10260,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Molotov cocktail gasoline in a bottle
